"k"	"p"	"c"	"o"	"f"	"g"	"s"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Brevibacillus"	"s_Brevibacillus_panacihumi"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Brevibacillus"	"s_Brevibacillus_laterosporus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_odorifer"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_bovis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_barengoltzii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_ihumii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_glucanolyticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_mucilaginosus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_macerans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_polymyxa"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Planococcaceae"	"g_Solibacillus"	"s_Solibacillus_silvestris"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Planococcaceae"	"g_Planococcus"	"s_Planococcus_antarcticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_sp_JDR_2"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_sp_IHBB_10380"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Paenibacillus"	"s_Paenibacillus_xylanexedens"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Paenibacillaceae"	"g_Saccharibacillus"	"s_Saccharibacillus_sacchari"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Jeotgalicoccus"	"s_Jeotgalicoccus_psychrophilus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Sporolactobacillaceae"	"g_Tuberibacillus"	"s_Tuberibacillus_calidus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	NA	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_pseudintermedius"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_aureus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Salinicoccus"	"s_Salinicoccus_halodurans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_hominis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_epidermidis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_capitis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_condimenti"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_haemolyticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_equorum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_massiliensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_lugdunensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_hyicus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_schleiferi"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_saprophyticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_xylosus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_warneri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_simulans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Staphylococcaceae"	"g_Staphylococcus"	"s_Staphylococcus_succinus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Bacillales"	"f_Thermoactinomycetaceae"	"g_Risungbinella"	"s_Risungbinella_massiliensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Granulicatella"	"s_Granulicatella_elegans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Granulicatella"	"s_Granulicatella_adiacens"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Granulicatella"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Abiotrophia"	"s_Abiotrophia_defectiva"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Facklamia"	"s_Facklamia_ignava"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Aerococcus"	"s_Aerococcus_viridans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Aerococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Facklamia"	"s_Facklamia_hominis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Facklamia"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Aerococcaceae"	"g_Facklamia"	"s_Facklamia_languida"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Allofustis"	"s_Allofustis_seminis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Alloiococcus"	"s_Alloiococcus_otitis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Dolosigranulum"	"s_Dolosigranulum_pigrum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Carnobacterium"	"s_Carnobacterium_maltaromaticum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Carnobacterium"	"s_Carnobacterium_inhibens"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Carnobacterium"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Carnobacteriaceae"	"g_Carnobacterium"	"s_Carnobacterium_sp_CP1"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_columbae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_cecorum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_avium"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_casseliflavus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_durans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_dispar"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_faecium"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Tetragenococcus"	"s_Tetragenococcus_halophilus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_italicus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_mundtii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Enterococcus"	"s_Enterococcus_saccharolyticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Enterococcaceae"	"g_Melissococcus"	"s_Melissococcus_plutonius"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_acetotolerans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_acidophilus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_ruminis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_mucosae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_fermentum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_delbrueckii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_crispatus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_coleohominis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_buchneri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_brevis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_curieae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_crustorum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_farciminis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_gasseri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_fructivorans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_kefiranofaciens"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_hokkaidonensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_helveticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_harbinensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_ginsenosidimutans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_hilgardii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_ingluviei"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_iners"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_jensenii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_lindneri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_koreensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_mellifer"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_mellis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_reuteri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_paracasei"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_parabuchneri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_parabrevis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_plantarum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_paracollinoides"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_pobuzihii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_rhamnosus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_rossiae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_sakei"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_saerimneri"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_lactis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Pediococcus"	"s_Pediococcus_claussenii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_sanfranciscensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_vaginalis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Lactobacillus"	"s_Lactobacillus_shenzhenensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Pediococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Pediococcus"	"s_Pediococcus_acidilactici"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Sharpea"	"s_Sharpea_azabuensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Pediococcus"	"s_Pediococcus_pentosaceus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Lactobacillaceae"	"g_Pediococcus"	"s_Pediococcus_damnosus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_citreum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_carnosum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_kimchii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_gelidum"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Lactococcus"	"s_Lactococcus_lactis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Oenococcus"	"s_Oenococcus_kitaharae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Leuconostoc"	"s_Leuconostoc_mesenteroides"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Weissella"	"s_Weissella_cibaria"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Weissella"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Oenococcus"	"s_Oenococcus_oeni"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Weissella"	"s_Weissella_ceti"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Lactococcus"	"s_Lactococcus_garvieae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	NA	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Weissella"	"s_Weissella_paramesenteroides"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Leuconostocaceae"	"g_Weissella"	"s_Weissella_koreensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Lactococcus"	NA
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Lactococcus"	"s_Lactococcus_piscium"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_mutans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_anginosus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_agalactiae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_cristatus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_caballi"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_gordonii"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_gallolyticus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_dysgalactiae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_didelphis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_entericus"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_equi"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_intermedius"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_infantis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_halotolerans"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_iniae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_mitis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_massiliensis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_marimammalium"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_merionis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_parasanguinis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_orisratti"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_ovis"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_porci"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_pneumoniae"
"k_Bacteria"	"p_Firmicutes"	"c_Bacilli"	"o_Lactobacillales"	"f_Streptococcaceae"	"g_Streptococcus"	"s_Streptococcus_parauberis"
